URN,Label,Description,Pleiades,Status,Redirect
urn:cite:hmt:place.place1,Athens,city in Attica,pleiades.stoa.org/places/579885,proposed,
urn:cite:hmt:place.place2,Thessaly,northern region of Greece (also called Aeolia),pleiades.stoa.org/places/1332,proposed,
urn:cite:hmt:place.place3,Hellas,Greece,pleiades.stoa.org/places/1001896,proposed,
urn:cite:hmt:place.place4,Dodona,in Epirus,pleiades.stoa.org/places/530843,proposed,
urn:cite:hmt:place.place5,Mycenae,city in the Peloponnese,pleiades.stoa.org/places/570491,proposed,
urn:cite:hmt:place.place6,Ilium,ancient name for Troy,pleiades.stoa.org/places/550595,approved,
urn:cite:hmt:place.place7,Asteria,DO NOT USE,pleiades.stoa.org/places/530816,rejected,urn:cite:hmt:place.place9
urn:cite:hmt:place.place8,Cyclades,island group in the Aegean,pleiades.stoa.org/places/560353,proposed,
urn:cite:hmt:place.place9,Delos,"island in the Cyclades, also known as Asteria as the ancient name",pleiades.stoa.org/places/599587,proposed,
urn:cite:hmt:place.place10,Arcadia,province in the Peloponnese,pleiades.stoa.org/places/570102,proposed,
urn:cite:hmt:place.place11,Cilla,a town in the Troad,pleiades.stoa.org/places/554254,proposed,
urn:cite:hmt:place.place12,Pisa,in Greece,pleiades.stoa.org/places/403253,proposed,
urn:cite:hmt:place.place13,Lesbos,island of the coast of modern Turkey,pleiades.stoa.org/places/550696,proposed,
urn:cite:hmt:place.place14,Tenedos,island not far from Troy,pleiades.stoa.org/places/550912,proposed,
urn:cite:hmt:place.place15,Troy,REJECTED city in modern Turkey,pleiades.stoa.org/places/550595,rejected,urn:cite:hmt:place.place6
urn:cite:hmt:place.place16,Leucophrys,former name of Tenedos,pleiades.stoa.org/places/550911,proposed,
urn:cite:hmt:place.place17,Sminthos,town in the Troad,,proposed,
urn:cite:hmt:place.place18,Troad,region in western Turkey,pleiades.stoa.org/places/550944,proposed,
urn:cite:hmt:place.place19,Chryse,town from which Agamemnon took Chryseis,pleiades.stoa.org/places/554214,proposed,
urn:cite:hmt:place.place20,Mysia,region in northern Turkey,pleiades.stoa.org/places/550759,proposed,
urn:cite:hmt:place.place21,Crete,island south of mainland Greece,pleiades.stoa.org/places/589748,proposed,
urn:cite:hmt:place.place22,Hellespont,the narrow crossing between Turkey and the rest of Europe,pleiades.stoa.org/places/501434,proposed,
urn:cite:hmt:place.place23,Libya,in Africa,pleiades.stoa.org/places/716588,proposed,
urn:cite:hmt:place.place24,Arabia,the Arabian peninsula,pleiades.stoa.org/places/29475,proposed,
urn:cite:hmt:place.place25,Egypt,in Africa,pleiades.stoa.org/places/766,proposed,
urn:cite:hmt:place.place26,Rhodes,island off the SW coast of Turkey,pleiades.stoa.org/places/590031,proposed,
urn:cite:hmt:place.place27,Lacedaemonia,"also called Laconia, region around Sparta in the Peloponnese",pleiades.stoa.org/places/570406,proposed,
urn:cite:hmt:place.place28,Massalia,Greek colony in Gaul,pleiades.stoa.org/places/148127,proposed,
urn:cite:hmt:place.place29,Aulis,town in Boeotia,pleiades.stoa.org/places/579889,proposed,
urn:cite:hmt:place.place30,Boeotia,region containing the Greek Thebes,pleiades.stoa.org/places/540689,proposed,
urn:cite:hmt:place.place31,Tauris,aka Crimea,pleiades.stoa.org/places/197545,proposed,
urn:cite:hmt:place.place32,Scythia,region in central Asia,pleiades.stoa.org/places/991379,proposed,
urn:cite:hmt:place.place33,Macedon,"Macedonia, ancient name is Emathia, region in Northern Greece",pleiades.stoa.org/places/991368,proposed,
urn:cite:hmt:place.place34,Phthia,southern Thessaly,pleiades.stoa.org/places/541052,proposed,
urn:cite:hmt:place.place35,Isthmus,of Corinth,pleiades.stoa.org/places/570317,proposed,
urn:cite:hmt:place.place36,Peloponnese,large peninsula of Greece,pleiades.stoa.org/places/570577,proposed,
urn:cite:hmt:place.place37,Mt. Parnassus,mountain in central Greece near Delphi,pleiades.stoa.org/places/541012,proposed,
urn:cite:hmt:place.place38,Amphipolis,city in Thrace,pleiades.stoa.org/places/501347,proposed,
urn:cite:hmt:place.place39,Cotiaeum,city in Western Turkey,pleiades.stoa.org/places/609444,proposed,
urn:cite:hmt:place.place40,Argolis,region in the Peloponnese,pleiades.stoa.org/places/570104,proposed,
urn:cite:hmt:place.place41,Pylos,island off the southwest corner of the Peloponnese,pleiades.stoa.org/places/570640,proposed,
urn:cite:hmt:place.place42,Messenia,region in the Peloponnese,pleiades.stoa.org/places/570480,proposed,
urn:cite:hmt:place.place43,Aegialeia,"aka Aegialos, province Achaea",pleiades.stoa.org/places/570049,proposed,
urn:cite:hmt:place.place44,attos,port city in the Peloponnese,pleiades.stoa.org/places/570106,proposed,
urn:cite:hmt:place.place45,Olympus,realm of the Olympian gods,pleiades.stoa.org/places/491677,proposed,
urn:cite:hmt:place.place46,Ethiopia,in Africa,pleiades.stoa.org/places/39274,proposed,
urn:cite:hmt:place.place47,Tarsus,city in southern Turkey,pleiades.stoa.org/places/648789,proposed,
urn:cite:hmt:place.place48,Lindos,on Rhodes,pleiades.stoa.org/places/589913,proposed,
urn:cite:hmt:place.place49,Thebes,in Boetia,pleiades.stoa.org/places/541138,proposed,
urn:cite:hmt:place.place50,Phlius,city in the northwestern Argolid in the Peloponnese,pleiades.stoa.org/places/573109,proposed,
urn:cite:hmt:place.place51,Thebes,"in the Troad, Cilician Thebes",pleiades.stoa.org/places/550920,proposed,
urn:cite:hmt:place.place53,Laconia,DO NOT USE,pleiades.stoa.org/places/570406,rejected,urn:cite:hmt:place.place27
urn:cite:hmt:place.place54,Colophon,city in Lydia,pleiades.stoa.org/places/599577,proposed,
urn:cite:hmt:place.place55,Cilicia,region in or near the Troad,pleiades.stoa.org/places/991403,proposed,
urn:cite:hmt:place.place56,Cape Maleas,peninsula in the Peloponnese,pleiades.stoa.org/places/570455,proposed,
urn:cite:hmt:place.place57,Pelion,mountain in Southeast Thessaly,pleiades.stoa.org/places/541021,proposed,
urn:cite:hmt:place.place58,Sinope,a town of Paphlagonia on the Black Sea,pleiades.stoa.org/places/857321,proposed,
urn:cite:hmt:place.place59,Lyrnessus,town associated with Cilician Thebes,pleiades.stoa.org/places/550703,proposed,
urn:cite:hmt:place.place60,Tartarus,deepest region of the Underworld,,proposed,
urn:cite:hmt:place.place61,Scyros,island of the Sporades,pleiades.stoa.org/places/541093,proposed,
urn:cite:hmt:place.place62,Nile,rile in Egypt,pleiades.stoa.org/places/727172,proposed,
urn:cite:hmt:place.place63,Ithaca,island in the Ionian Sea,pleiades.stoa.org/places/530906,proposed,
urn:cite:hmt:place.place64,Diospolis,"Zeus City",pleiades.stoa.org/places/844907,proposed,
urn:cite:hmt:place.place65,Elis,region of the Peloponnese,pleiades.stoa.org/places/570220,proposed,
urn:cite:hmt:place.place66,Amnisos,port of Knossos,pleiades.stoa.org/places/589682,proposed,
urn:cite:hmt:place.place67,Hades,the Underworld,,proposed,
urn:cite:hmt:place.place68,Cos,island in the Sporades,pleiades.stoa.org/places/599581,proposed,
urn:cite:hmt:place.place69,Lemnos,"old name is Sinteis, island in the Northern Aegaen",pleiades.stoa.org/places/550693,proposed,
urn:cite:hmt:place.place70,Thrace,region NE of Greece near Turkey,pleiades.stoa.org/places/501638,proposed,
urn:cite:hmt:place.place71,Sidon,Phoenician city,pleiades.stoa.org/places/678393,proposed,
urn:cite:hmt:place.place72,Caucasus,mountains separating Turkey from central Europe,pleiades.stoa.org/places/863766,proposed,
urn:cite:hmt:place.place73,Thesprotia,shrine housed an oracle,pleiades.stoa.org/places/531117,proposed,
urn:cite:hmt:place.place74,Ashkelon,"also spelled Ascalon, coastal city in modern Israel",pleiades.stoa.org/places/687839,proposed,
urn:cite:hmt:place.place75,Lycia,region in Anatolia,pleiades.stoa.org/places/638965,proposed,
urn:cite:hmt:place.place76,Attica,region containing Athens/a regional dialect,pleiades.stoa.org/places/579888,proposed,
urn:cite:hmt:place.place77,Aeolic,northern dialect,pleiades.stoa.org/places/1332,proposed,
urn:cite:hmt:place.place78,Doric/Dorian,dialect encompassing a large part of Greece including the Peloponeese,pleiades.stoa.org/places/540740,proposed,
urn:cite:hmt:place.place79,Ionia,region in Western Turkey,pleiades.stoa.org/places/550597,proposed,
urn:cite:hmt:place.place80,Ephesus,Greek city in Ionia,pleiades.stoa.org/places/599612,proposed,
urn:cite:hmt:place.place81,Arctic Circle,North pole,,proposed,
urn:cite:hmt:place.place82,Antarctic Circle,South pole,,proposed,
urn:cite:hmt:place.place83,Nablus,city in the Western Bank of modern day Israel (Neapolis),pleiades.stoa.org/places/678301,proposed,
urn:cite:hmt:place.place84,Phaestus,city on Crete,pleiades.stoa.org/places/589987,proposed,
urn:cite:hmt:place.place85,Caria,region in Western Anatolia,pleiades.stoa.org/places/991381,proposed,
urn:cite:hmt:place.place86,Sardis,"also called Tarne, capital of Lydia",pleiades.stoa.org/places/550867,proposed,
urn:cite:hmt:place.place87,Lydia,"kingdom east of Ionia, also called Maeonia",pleiades.stoa.org/places/991385,proposed,
urn:cite:hmt:place.place88,Zeleia,"town allied to Troy, at the foot of Mt. Ida",pleiades.stoa.org/places/511461,proposed,
urn:cite:hmt:place.place89,Mt. Ida,mountain in the Troad,pleiades.stoa.org/places/550402,proposed,
urn:cite:hmt:place.place90,Hyle,a town in Boeotia,pleiades.stoa.org/places/540825,proposed,
